transcript_id	gene_id	gene_name
NM_001011874	Xkr4	Xkr4
NM_001195662	Rp1	Rp1
NM_011283	Rp1	Rp1
NM_001289466	Sox17	Sox17
NM_011441	Sox17	Sox17
NM_001289464	Sox17	Sox17
NM_001289465	Sox17	Sox17
NM_001289467	Sox17	Sox17
NR_033530	Mrpl15	Mrpl15
NM_025300	Mrpl15	Mrpl15
NM_001177658	Mrpl15	Mrpl15
NM_008866	Lypla1	Lypla1
NM_001159750	Tcea1	Tcea1
NM_011541	Tcea1	Tcea1
NM_001159751	Tcea1	Tcea1
NM_001290372	Rgs20	Rgs20
NM_021374	Rgs20	Rgs20
NM_001177795	Rgs20	Rgs20
NM_133826	Atp6v1h	Atp6v1h
NM_011011	Oprk1	Oprk1
NM_001204371	Oprk1	Oprk1
NM_010342	Npbwr1	Npbwr1
NM_009826	Rb1cc1	Rb1cc1
NM_001195732	Fam150a	Fam150a
NM_001244692	St18	St18
NM_001244693	St18	St18
NR_045188	St18	St18
NR_045189	St18	St18
NM_173868	St18	St18
NM_183028	Pcmtd1	Pcmtd1
NM_001290390	Sntg1	Sntg1
NM_001290392	Sntg1	Sntg1
NM_001290393	Sntg1	Sntg1
NM_027671	Sntg1	Sntg1
NM_021511	Rrs1	Rrs1
NR_027664	Adhfe1	Adhfe1
NM_175236	Adhfe1	Adhfe1
NR_015470	2610203C22Rik	2610203C22Rik
NM_178399	3110035E14Rik	3110035E14Rik
NM_008651	Mybl1	Mybl1
NM_001290397	Mybl1	Mybl1
NM_173443	Vcpip1	Vcpip1
NR_040462	1700034P13Rik	1700034P13Rik
NM_133220	Sgk3	Sgk3
NM_177547	Sgk3	Sgk3
NM_001037759	Sgk3	Sgk3
NM_177722	Mcmdc2	Mcmdc2
NR_024067	Snhg6	Snhg6
NR_004410	Snord87	Snord87
NM_001285425	Tcf24	Tcf24
NM_145692	Ppp1r42	Ppp1r42
NR_110971	Ppp1r42	Ppp1r42
NR_102282	Cops5	Cops5
NM_013715	Cops5	Cops5
NM_001277101	Cops5	Cops5
NM_026493	Cspp1	Cspp1
NM_001102430	Arfgef1	Arfgef1
NM_001289497	Cpa6	Cpa6
NM_177834	Cpa6	Cpa6
NR_030645	Mir467e	Mir467e
NM_029525	Prex2	Prex2
NM_001033636	Prex2	Prex2
NM_001160369	A830018L16Rik	A830018L16Rik
NM_177173	A830018L16Rik	A830018L16Rik
NM_001160371	A830018L16Rik	A830018L16Rik
NM_001160370	A830018L16Rik	A830018L16Rik
NR_105759	Mir6341	Mir6341
NR_045297	Gm17644	Gm17644
NM_001198566	Sulf1	Sulf1
NM_001198565	Sulf1	Sulf1
NM_172294	Sulf1	Sulf1
NM_172841	Slco5a1	Slco5a1
NM_001081209	Prdm14	Prdm14
NM_001302702	Ncoa2	Ncoa2
NM_008678	Ncoa2	Ncoa2
NM_028173	Tram1	Tram1
NM_145381	Lactb2	Lactb2
NM_001011873	Xkr9	Xkr9
NR_004447	Gm5523	Gm5523
NM_001252192	Eya1	Eya1
NM_010164	Eya1	Eya1
NM_010827	Msc	Msc
NM_177781	Trpa1	Trpa1
NM_001098528	Kcnb2	Kcnb2
NM_009352	Terf1	Terf1
NM_001286628	Terf1	Terf1
NM_001033288	Sbspon	Sbspon
NM_001243238	4930444P10Rik	4930444P10Rik
NM_001305227	4930444P10Rik	4930444P10Rik
NM_011291	Rpl7	Rpl7
NM_133832	Rdh10	Rdh10
NM_001111272	Stau2	Stau2
NM_025303	Stau2	Stau2
NM_001271016	Ube2w	Ube2w
NM_001271017	Ube2w	Ube2w
NM_025773	Ube2w	Ube2w
NR_073122	Ube2w	Ube2w
NM_026456	Tceb1	Tceb1
NR_037998	D030040B21Rik	D030040B21Rik
NM_027415	Tmem70	Tmem70
NM_026392	Tmem70	Tmem70
NM_001159711	Ly96	Ly96
NM_016923	Ly96	Ly96
NM_020604	Jph1	Jph1
NM_010267	Gdap1	Gdap1
NM_053191	Pi15	Pi15
NR_130314	Gm16070	Gm16070
NM_031402	Crispld1	Crispld1
NM_030033	Crisp4	Crisp4
NR_002879	Defb44-ps	Defb44-ps
NM_001039123	Defb18	Defb18
NM_183124	Defb41	Defb41
NM_001040027	Gm15386	Gm15386
NM_153154	Tfap2d	Tfap2d
NM_001286340	Tfap2b	Tfap2b
NM_009334	Tfap2b	Tfap2b
NM_001025305	Tfap2b	Tfap2b
NM_153179	Pkhd1	Pkhd1
NR_045734	4930486I03Rik	4930486I03Rik
NR_131249	Linc-md1	Linc-md1
NR_029593	Mir206	Mir206
NR_029902	Mir133b	Mir133b
NM_010552	Il17a	Il17a
NM_145856	Il17f	Il17f
NM_008563	Mcm3	Mcm3
NR_040492	6720483E21Rik	6720483E21Rik
NM_028829	Paqr8	Paqr8
NM_027974	Efhc1	Efhc1
NM_177409	Tram2	Tram2
